snide	STPHAOEUD
snipe	STPHAOEUP
strife	STRAOEUF
stripe	STRAOEUP
stride	STRAOEUD
style	STAOEUL
jibe	SKWRAOEUB
squire	SKWAOEUR
scribe	SKRAOEUB
splice	SPHRAOEUS
smile	SPHAOEUL
smite	SPHAOEUT
sprite	SPRAOEUT
spire	SPAOEUR
spite	SPAOEUT
spice	SPAOEUS
swipe	SWAOEUP
slight	SHRAOEUT
slice	SHRAOEUS
slide	SHRAOEUD
vibe	SRAOEUB
vile	SRAOEUL
vice	SRAOEUS
vise	SRAOEUZ
sire	SAOEUR
sight	SAOEUT
side	SAOEUD
size	SAOEUZ
glide	TKPWHRAOEUD
gripe	TKPWRAOEUP
guide	TKPWAOEUD
dryer	TKRAOEUR
dire	TKAOEUR
dial	TKAOEUL
dice	TKAOEUS
flight	TPHRAOEUT
knife	TPHAOEUF
night	TPHAOEUT
nice	TPHAOEUS
fright	TPRAOEUT
fried	TPRAOEUD
fire	TPAOEUR
file	TPAOEUL
fight	TPAOEUT
twice	TWAOEUS
thrice	THRAOEUS
tripe	TRAOEUP
tribe	TRAOEUB
trial	TRAOEUL
trite	TRAOEUT
trice	TRAOEUS
tire	TAOEUR
type	TAOEUP
tile	TAOEUL
tight	TAOEUT
tide	TAOEUD
choir	KWAOEUR
quite	KWAOEUT
chide	KHAOEUD
cried	KRAOEUD
kite	KAOEUT
blight	PWHRAOEUT
bribe	PWRAOEUB
bright	PWRAOEUT
bride	PWRAOEUD
bile	PWAOEUL
bite	PWAOEUT
bide	PWAOEUD
plight	PHRAOEUT
mire	PHAOEUR
mile	PHAOEUL
might	PHAOEUT
mice	PHAOEUS
prior	PRAOEUR
price	PRAOEUS
pride	PRAOEUD
prize	PRAOEUZ
pyre	PAOEUR
pipe	PAOEUP
pile	PAOEUL
wife	WAOEUF
wire	WAOEUR
wipe	WAOEUP
wile	WAOEUL
wise	WAOEUS
wide	WAOEUD
life	HRAOEUF
liar	HRAOEUR
light	HRAOEUT
lice	HRAOEUS
hype	HAOEUP
height	HAOEUT
hide	HAOEUD
rife	RAOEUF
ripe	RAOEUP
rile	RAOEUL
right	RAOEUT
rice	RAOEUS
ride	RAOEUD
ire	AOEUR
ipe	AOEUP
ice	AOEUS
die	TKAO*EU
lie	HRAOEU
pie	PAOEU
tie	TAOEU
rye	RAOEU
eye	AOEU
sky	SKAOEU
fly	TPHRAOEU
dry	TKRAOEU
cry	KRAOEU
fry	TPRAOEU
spy	SPAOEU
shy	SHAOEU
sty	STAOEU
high	HAOEU
thigh	THAOEU
pry	PRAOEU
